program,content,start,end,start_s,end_s,duration_s
PROG_2020_00824382,"mä tarkotan nuorella vielä
semmoseen kahteenkymppiin asti","00:04:14,040","00:04:16,680",254.04,256.68,2.640000000000015
PROG_2020_00824382,"ainakin niin niitten kuuluu
ajatella ruuasta sillä sitä,","00:04:16,680","00:04:19,760",256.68,259.76,3.079999999999984
PROG_2020_00824382,"että se on rakennuspalikoita
sen harjoittelun tehostamista ja","00:04:19,760","00:04:24,720",259.76,264.72,4.960000000000036
PROG_2020_00824382,"energiaa siihen, että jaksetaan
harjoitella ja jaksetaan kehittyä.","00:04:24,720","00:04:28,200",264.72,268.2,3.4799999999999613
PROG_2020_00824382,"Ja silloin ei kuulu siinä
vaiheessa uraa miettiä sitä","00:04:28,200","00:04:31,960",268.2,271.96,3.759999999999991
PROG_2020_00824382,sekuntien tai senttien viilaamista.,"00:04:31,960","00:04:34,880",271.96,274.88,2.920000000000016
PROG_2020_00824382,"Sillä painonhallinnalla, koska se
kuuluu sit sinne mahdollisesti sinne","00:04:34,880","00:04:39,600",274.88,279.6,4.720000000000027
PROG_2020_00824382,"kuolla on olympialaisiin menossa tai
ollaan ammattilaisia ja aikuisia.","00:04:39,600","00:04:44,120",279.6,284.12,4.519999999999982
PROG_2020_00824382,"Ja se kehon hormonimyrskyn ja
se kasvaminen ja kaikki se","00:04:44,120","00:04:47,720",284.12,287.72,3.6000000000000227
PROG_2020_00824382,"perusharjoittelu on ohi, niin silloin
voidaan miettiä sellasta, mutta se ei","00:04:47,720","00:04:51,720",287.72,291.72,4.0
PROG_2020_00824382,"ensin täytyy saada rauhassa kehittyä
ja kasvaa naiseksi ja urheilijaksi.","00:04:51,720","00:04:56,520",291.72,296.52,4.7999999999999545
PROG_2020_00824382,"Kun perehdyt tuon kyselyn tuloksiin
niin mikä pisti eniten silmiin.","00:04:56,520","00:05:01,080",296.52,301.08,4.560000000000002
PROG_2020_00824382,"Aika järkyttävää oli se,
että niin suuri osa naisurheilijoista","00:05:01,080","00:05:05,280",301.08,305.28,4.199999999999989
PROG_2020_00824382,"ja tää voi myöskin koskien
miesurheilijoita toki niin","00:05:05,280","00:05:08,200",305.28,308.2,2.920000000000016
PROG_2020_00824382,"määrittää itsensä ja sen oman
ihmisyytensä ja omakuvaansa","00:05:08,200","00:05:12,640",308.2,312.64,4.439999999999998
PROG_2020_00824382,"sen ja sen ulkonäön ja
kehon ja painon perusteella.","00:05:12,640","00:05:17,160",312.64,317.16,4.520000000000039
PROG_2020_00824382,"Tuossa äsken nähdyssä jutussa
nostettiin muun muassa sosiaalisen","00:05:17,160","00:05:21,320",317.16,321.32,4.159999999999968
PROG_2020_00824382,"sosiaalisessa mediassa jaettavien
kuvien haitallinen vaikutus,
minkälainen haaste some on.","00:05:21,320","00:05:27,000",321.32,327.0,5.680000000000007
PROG_2020_00824382,"Totta kai Suomi on haaste,
siitä on puhuttu paljon tietenkin","00:05:27,000","00:05:29,480",327.0,329.48,2.480000000000018
PROG_2020_00824382,"ihan yleisesti nuorten keskuudessa
että some jollain tavalla Suomen","00:05:29,480","00:05:33,440",329.48,333.44,3.9599999999999795
PROG_2020_00824382,"kuuluminen elämään nyt sitä on turha
hymistellä tässä mut se on ehkä niin","00:05:33,440","00:05:38,600",333.44,338.6,5.160000000000025
PROG_2020_00824382,"että se jakaa sellaista tietynlaista
kuvaa minkälainen pitäis olla ja","00:05:38,600","00:05:42,360",338.6,342.36,3.759999999999991
PROG_2020_00824382,"kukaan siellä ei yleensä näytä sitä,
jos näyttää sen huonon puolen niin","00:05:42,360","00:05:45,880",342.36,345.88,3.519999999999982
PROG_2020_00824382,"silloin yleensä tosi huonosti asiat
ja halu hakee sillä siitä apua ja","00:05:45,880","00:05:49,920",345.88,349.92,4.0400000000000205
PROG_2020_00824382,"jakaa sitä pahaa oloa mut enimmäkseen
näytetään ihannevartaloita","00:05:49,920","00:05:53,400",349.92,353.4,3.4799999999999613
PROG_2020_00824382,"tai hyviä tilanteita ja sen lisäksi
nuoret urheilijat joutuu paljon","00:05:54,440","00:05:58,480",354.44,358.48,4.0400000000000205
PROG_2020_00824382,"enemmän kuin aikasemmin urheilija
tai aikuisetkin urheilijat urheilija","00:05:58,480","00:06:02,360",358.48,362.36,3.8799999999999955
PROG_2020_00824382,"joutuu jakamaan sitä elämänsä
jokaista päivää sponsoreita tai","00:06:02,360","00:06:06,800",362.36,366.8,4.439999999999998
PROG_2020_00824382,"faneja varten pitää joka päivä
päivittää joku hyvä sumea kuva.","00:06:06,800","00:06:10,440",366.8,370.44,3.6399999999999864
PROG_2020_00824382,"Ja samalla seurataan sitä kilpailijan
sometiliä ja siitä tulee ikään","00:06:10,440","00:06:15,960",370.44,375.96,5.519999999999982
PROG_2020_00824382,"kuin hirveät paineet siitä,
miltä pitää näyttää ja miltä","00:06:15,960","00:06:18,400",375.96,378.4,2.4399999999999977
PROG_2020_00824382,"pitää näyttää harjoituksissa ja
miltä pitää näyttää kilpaillessa","00:06:18,400","00:06:21,240",378.4,381.24,2.840000000000032
PROG_2020_00824382,"ja ja koko ajan jakaa semmosia
niinku säkenöiviä kuvia.","00:06:21,240","00:06:25,280",381.24,385.28,4.039999999999964
PROG_2020_00824382,"Kyselyyn vastanneilta laskettiin
myös painoindeksi ja 71 % heistä","00:06:25,280","00:06:31,040",385.28,391.04,5.760000000000048
PROG_2020_00824382,"joilla indeksi viittasi alipainoon
olivat alle 20-vuotiaita.","00:06:31,040","00:06:35,280",391.04,395.28,4.239999999999952
PROG_2020_00824382,"Kuinka vahvasti tämä on nimenomaan
nuorten naisten ongelma.","00:06:35,960","00:06:38,960",395.96,398.96,3.0
PROG_2020_00824382,"Totta kai tämä on enemmän nuorten
naisten ongelma sen takia että että","00:06:38,960","00:06:42,520",398.96,402.52,3.5600000000000023
PROG_2020_00824382,"ensinnäkin silloin kun nainen kasvaa
naiseksi niin sen monilla ne hormonit","00:06:42,520","00:06:47,280",402.52,407.28,4.759999999999991
PROG_2020_00824382,"voimat aika voimakkaasti naisista
on sitä kehua, ja silloin se keho","00:06:47,280","00:06:50,640",407.28,410.64,3.3600000000000136
PROG_2020_00824382,"muuttuu nopeasti mitä on vaikea ehkä
hyväksyä ja jollain urheilijalle","00:06:50,640","00:06:55,280",410.64,415.28,4.639999999999986
PROG_2020_00824382,"joka on ollu vaikka tosi tosi taitava
niin kehon mittasuhteet muuttuu ja","00:06:55,280","00:06:58,680",415.28,418.68,3.400000000000034
PROG_2020_00824382,"ne taidot heikkenevät ja yhtäkkiä ei
useinkaan tehdä niitä temppuja mitä","00:06:58,680","00:07:02,120",418.68,422.12,3.4399999999999977
PROG_2020_00824382,"on ollu aikasemmin tai yhtäkkiä on
raskaampi juosta tai tai vaikeampi","00:07:02,120","00:07:06,600",422.12,426.6,4.480000000000018
PROG_2020_00824382,"oikeastaan pärjätä siinä omassa
lajissa ja silloin siitä tulee niin","00:07:07,720","00:07:10,560",427.72,430.56,2.839999999999975
PROG_2020_00824382,"kriittinen aika, koska sit tulee
ulkoiset paineet siitä menestymisestä","00:07:10,560","00:07:14,280",430.56,434.28,3.7199999999999704
PROG_2020_00824382,"ja siitä että se urheilu ei suju
niin hyvin ja samaan aikaan keho","00:07:14,280","00:07:17,160",434.28,437.16,2.8800000000000523
PROG_2020_00824382,"haluaa kovasti tehdä naista,
joka ei välttämättä kaikissa lajeissa","00:07:17,160","00:07:20,400",437.16,440.4,3.2399999999999523
PROG_2020_00824382,"oo ehkä se edullisin ja se yleensä
tasottuu se sen naiseksi muuttuminen,","00:07:20,400","00:07:25,800",440.4,445.8,5.400000000000034
PROG_2020_00824382,"niin se tarjottiin siinä kahdenkympin
jälkeen ja monella urheilijalla esim.","00:07:25,800","00:07:29,160",445.8,449.16,3.3600000000000136
PROG_2020_00824382,"jos se pohja on hyvä,
niin se siihen kehon hallinta","00:07:29,160","00:07:34,080",449.16,454.08,4.919999999999959
PROG_2020_00824382,"ja sen kehon urheilullisuus on
paljon helpompi saada kuin silloin","00:07:34,080","00:07:38,000",454.08,458.0,3.920000000000016
PROG_2020_00824382,"nuorena jolloin siitä tulee
niitä ylilyöntejä ja helpommin","00:07:38,000","00:07:40,560",458.0,460.56,2.5600000000000023
PROG_2020_00824382,"puhetta silloin ei oo myöskään
päästään kasvanu valmiiks nuorena.","00:07:40,560","00:07:43,920",460.56,463.92,3.3600000000000136
PROG_2020_00824382,"Hyvä, kiitoksia vierailusta
kapinallisen jatketaan","00:07:43,920","00:07:46,920",463.92,466.92,3.0
PROG_2020_00824382,"nyt muihin aiheisiin,
jotka herralla oli mahdollisuus","00:07:46,920","00:07:50,000",466.92,470.0,3.079999999999984
PROG_2020_00824382,"uransa ensimmäisen henkilökohtaisen
maailman cup-kilpailun voittoon","00:07:50,000","00:07:53,000",470.0,473.0,3.0
PROG_2020_00824382,"mutta paukut eivät aivan riittäneet
kokonaisuudessaan erittäin","00:07:53,000","00:07:56,360",473.0,476.36,3.3600000000000136
PROG_2020_00824382,"onnistunut kisaviikonloppu lupailee
hyvää jatkoa ajat ajatellen.","00:07:56,360","00:07:59,840",476.36,479.84000000000003,3.480000000000018
PROG_2020_00824382,"Pohjois-Italia val di Fiemme
tuttu hiihtolajien MM näyttämö.","00:08:01,200","00:08:04,800",481.2,484.8,3.6000000000000227
PROG_2020_00824382,"Kyseisen kylän pienen mäen
huipulta löytyy Ilkka Herola","00:08:04,800","00:08:08,240",484.8,488.24,3.4399999999999977
PROG_2020_00824382,"Suomi ja Puijon hiihtoseura.
Herola pamauttaa 99:n metrisen ja","00:08:08,240","00:08:13,320",488.24,493.32,5.079999999999984
PROG_2020_00824382,"on hiihdon lähtölistassa sijalla 15,
matkaa kärkeen ja 0,5 minuuttia.","00:08:13,320","00:08:18,320",493.32,498.32,5.0
PROG_2020_00824382,"Sen sijaan Eero Hirvonen jää
sijalle 39 1,5 minuuttia kärjestä.","00:08:18,320","00:08:23,160",498.32,503.16,4.840000000000032
PROG_2020_00824382,"Kilpailu on hiihdetty vajaa
10 minuuttia kun Hero nappaa","00:08:24,280","00:08:27,480",504.28,507.48,3.2000000000000455
PROG_2020_00824382,"kärkipaikan ja hiihtää letkan
kärjessä välillä kärjessä on Norjan","00:08:27,480","00:08:32,560",507.48,512.56,5.079999999999927
PROG_2020_00824382,"Jan Magnus Friberg välillä Herola.
Kärkijoukko pysyi suurena,","00:08:32,560","00:08:36,760",512.56,516.76,4.2000000000000455
PROG_2020_00824382,"mutta kukaan ei pääse karkuun
ratkaisut nähdään lopussa.","00:08:36,760","00:08:40,720",516.76,520.72,3.9600000000000364
PROG_2020_00824382,Oli tavoitteena. Että.,"00:08:40,720","00:08:42,240",520.72,522.24,1.5199999999999818
PROG_2020_00824382,"Oman kaistan sais siitä vielä ja
tuota pääsis sitten suikkaamaan","00:08:42,240","00:08:46,280",522.24,526.28,4.039999999999964
PROG_2020_00824382,"sitä hyvällä kampesi vauhdilla ohi
mutta väärän kaistan tarina siinä,","00:08:46,280","00:08:50,680",526.28,530.68,4.399999999999977
PROG_2020_00824382,"että ostan ottaa oikein aikaa ja otin
tuolta vasempaan ja sieltä sitten","00:08:50,680","00:08:53,720",530.68,533.72,3.0400000000000773
PROG_2020_00824382,"tuo kaiken eikä sen verran tohon
sivuun että ei sitten mahtunut siinä","00:08:53,720","00:08:57,880",533.72,537.88,4.159999999999968
PROG_2020_00824382,"jatkamaan sitä hommaa sit
sen jälkeen olinkin kohdalla
puussa tulla keskellä.","00:08:57,880","00:09:02,000",537.88,542.0,4.1200000000000045
PROG_2020_00824382,"Minulla on tällä hetkellä neljäntenä
vielä johtaa Rider inches kaiken","00:09:02,000","00:09:05,520",542.0,545.52,3.519999999999982
PROG_2020_00824382,"tulee poliittinen erolla hyytyy
kuudenneksi kumpi voittaa onko","00:09:05,520","00:09:08,760",545.52,548.76,3.240000000000009
PROG_2020_00824382,"kaiken lain Renza alkaa se vie
joka tapauksessa Riderin venytys","00:09:08,760","00:09:13,200",548.76,553.2,4.440000000000055
PROG_2020_00824382,"näytti parhaalta, Herola kuudentena.","00:09:13,200","00:09:15,960",553.2,555.96,2.759999999999991
PROG_2020_00824382,"Norjan liigan voittaja herolla
siis kuudes Hirvonen nousi","00:09:15,960","00:09:18,720",555.96,558.72,2.759999999999991
PROG_2020_00824382,"sijalta 39 kymmenenneksi
perjantaina Herola oli kakkonen","00:09:18,720","00:09:23,400",558.72,563.4,4.67999999999995
PROG_2020_00824382,"ja eilen tuli parisprintissä
pronssia eli hieno viikonloppu.","00:09:23,400","00:09:27,520",563.4,567.52,4.1200000000000045
PROG_2020_00824382,"Ihan henkilökohtaisella tasolla
ne tosi tärkeä osa monen niinkun","00:09:27,520","00:09:31,200",567.52,571.2,3.6800000000000637
PROG_2020_00824382,"itseluottamuksen buusti tähän
kohtaan ja tota ennen ku taas tietää","00:09:31,200","00:09:36,440",571.2,576.44,5.240000000000009
PROG_2020_00824382,"että ollaan taistella koko ajan
niistä asioista mistä mistä haluaa","00:09:36,440","00:09:39,280",576.44,579.28,2.839999999999918
PROG_2020_00824382,"toisten ajatusta joukkueenakin
näkee sen että nyt ollaan.","00:09:39,280","00:09:41,880",579.28,581.88,2.6000000000000227
PROG_2020_00824382,"Pääsemässä siihen hommaan.
Kiinni Herola.","00:09:43,040","00:09:45,600",583.04,585.6,2.560000000000059
PROG_2020_00824382,"Ja Hirvonen nähdään
ensi viikonloppuna","00:09:45,600","00:09:47,480",585.6,587.48,1.8799999999999955
PROG_2020_00824382,Suomessa Salpausselän kisoissa.,"00:09:47,480","00:09:51,160",587.48,591.16,3.67999999999995
PROG_2020_00824382,"Antti Aalto sivusi kauden parasta
tulostaan maailman cupissa","00:09:51,520","00:09:54,440",591.52,594.44,2.9200000000000728
PROG_2020_00824382,"sijoittumalla yhdeksänneksi
toista Zakopanen osakilpailussa","00:09:54,440","00:09:57,880",594.44,597.88,3.439999999999941
PROG_2020_00824382,"Aallon toinen hyppykaan toisaalta,
35,5 metriä muita suomalaisia","00:09:57,880","00:10:02,880",597.88,602.88,5.0
PROG_2020_00824382,"ei toisella kierroksella nähty
kisan voitti Norjan Marius","00:10:02,880","00:10:06,480",602.88,606.48,3.6000000000000227
PROG_2020_00824382,"Lindberg joka hyppäsi toisella
kierroksella peräti 145,5 metriä.","00:10:06,480","00:10:12,800",606.48,612.8,6.319999999999936
PROG_2020_00824382,"Valioliigan kärkijoukkue
Manchester United saapui","00:10:13,200","00:10:15,680",613.2,615.68,2.4799999999999045
PROG_2020_00824382,"Liverpoolin kotikentälle
Unitedilla oli alla pitkä","00:10:15,680","00:10:19,360",615.68,619.36,3.6800000000000637
PROG_2020_00824382,"tappioton putki ja Liverpool on
ollut sarjan kovin kotijoukkue.","00:10:19,360","00:10:23,560",619.36,623.56,4.199999999999932
PROG_2020_00824382,"Legendaarinen Phil Jones
sai tänään todistaa","00:10:23,560","00:10:26,400",623.56,626.4,2.840000000000032
PROG_2020_00824382,"valioliigan kärki kohtaamista.
Vastakkain olivat sarjakolmonen","00:10:26,400","00:10:30,080",626.4,630.08,3.6800000000000637
PROG_2020_00824382,"kotijoukkue Liverpool sekä
sarjajohtaja Manchester United.-.","00:10:30,080","00:10:33,480",630.08,633.48,3.3999999999999773
PROG_2020_00824382,"Ennen tätä peliä Manulla
oli valioliigassa 11
peliä ilman tappiota.","00:10:34,760","00:10:40,160",634.76,640.16,5.399999999999977
PROG_2020_00824382,"Sarjan paras kotijoukkue Liverpool
painoi vahvasti päälle ensimmäiset","00:10:40,560","00:10:43,760",640.56,643.76,3.2000000000000455
PROG_2020_00824382,"0,5 tuntia. Andy Robertson
laukoi alakulmaan mutta ei.","00:10:43,760","00:10:48,560",643.76,648.56,4.7999999999999545
PROG_2020_00824382,"Sitten punapaitojen Mohamed Salah
pääsee tykittämään vastapalloon.","00:10:48,800","00:10:52,240",648.8,652.24,3.4400000000000546
PROG_2020_00824382,Mutta sihti on hieman pielessä.,"00:10:52,240","00:10:56,080",652.24,656.08,3.840000000000032
PROG_2020_00824382,"32 minuuttia pelattu kun Manu
saa vapaapotkun hyvästä paikasta.","00:10:56,280","00:11:01,520",656.28,661.52,5.240000000000009
PROG_2020_00824382,"Brunon Fernandes täräyttää
sisäkierteen ja läheltä menee,","00:11:01,920","00:11:06,120",661.92,666.12,4.2000000000000455
PROG_2020_00824382,"mutta ei auta ja paitaa päähän.
Tauolle mentiin lukemissa 00,","00:11:06,120","00:11:11,320",666.12,671.32,5.2000000000000455
PROG_2020_00824382,"toisella puoliajalla Manun kulman
jälkitilanteesta Liverpool hyökkää","00:11:12,400","00:11:15,960",672.4,675.96,3.560000000000059
PROG_2020_00824382,"pitkä ja perään taktiikalla
Salah on vaarallisesti kärkyllä,","00:11:15,960","00:11:19,080",675.96,679.08,3.1200000000000045
PROG_2020_00824382,"mutta hänet plokataan.
Kotijoukkue jatkaa painostustaan","00:11:19,080","00:11:23,560",679.08,683.56,4.4799999999999045
PROG_2020_00824382,"kulmapotku tulee suoraan maalille,
mutta tilanne kuivuu kasaan.","00:11:23,560","00:11:26,880",683.56,686.88,3.32000000000005
PROG_2020_00824382,"Myös vieraat heräävät,
Fernandesillä on loistava tekopaikka.","00:11:28,200","00:11:32,560",688.2,692.56,4.3599999999999
PROG_2020_00824382,"Mutta brasilialaismaalivahti
Alisson venyi lähes","00:11:32,560","00:11:35,960",692.56,695.96,3.400000000000091
PROG_2020_00824382,Radeckimaiseen reaktiotorjuntaan.,"00:11:35,960","00:11:39,800",695.96,699.8,3.839999999999918
PROG_2020_00824382,"Hetken päästä United tulee uudelleen.
Wok palaa 1 000 €:n paikka,","00:11:40,160","00:11:44,960",700.16,704.96,4.800000000000068
PROG_2020_00824382,"mutta pronssimuuri jälleen
edessä ei vieläkään maalia.","00:11:44,960","00:11:49,120",704.96,709.12,4.159999999999968
PROG_2020_00824382,"Ottelu päättyy 00-
Liverpoolille kolmas peli","00:11:49,120","00:11:52,680",709.12,712.68,3.5599999999999454
PROG_2020_00824382,"ilman maaleja ja Manu säilyttää
tappiottoman putkensa.-","00:11:52,680","00:11:57,280",712.68,717.28,4.600000000000023
PROG_2020_00824382,"Lopputulostus on päättynyt
sukupolvien unelma, se on tässä.","00:12:16,520","00:12:21,960",736.52,741.96,5.440000000000055
PROG_2020_00824382,"Suomen pikaluistelumaajoukkueessa
yritetään täyttää Mika Poutalan ja","00:12:22,760","00:12:26,320",742.76,746.32,3.560000000000059
